线路名称,郑州3,,,
颜色(Hex),f99935,,,
单向运营时间,56min,,,
交路1,大交路,,,
站点名称,上行到达时间,上行停靠时间,下行到达时间,下行停靠时间
省体育中心,,,,
王砦,,,,
兴隆铺,,,,
同乐,,,,
南阳新村,,,,
海滩寺,,,,
大石桥,,,,
人民公园,,,,
二七广场,,,,
西大街,,,,
东大街,,,,
郑州文庙,,,,
博览中心,,,,
凤凰台,,,,
东十里铺,,,,
通泰路,,,,
西周,,,,
东周,,,,
省骨科医院,,,,
圃田西,,,,
营岗,,,,
潮河,,,,
滨河新城,,,,
司赵,,,,
滨河新城南,,,,
滨河新城南Z,,,,
